FILE: wordpress/wp-activate.php
line	column	type	code	message	docs
9	9	ERROR	WordPress.NamingConventions.PrefixAllGlobals.NonPrefixedConstantFound	Global constants defined by a theme/plugin should start with the theme/plugin prefix. Found: "WP_INSTALLING".	
17	5	WARNING	WordPress.Security.SafeRedirect.wp_redirect_wp_redirect	wp_redirect() found. Using wp_safe_redirect(), along with the &quot;allowed_redirect_hosts&quot; filter if needed, can help avoid any chances of malicious redirects within code. It is also important to remember to call exit() after a redirect so that no other unwanted code is executed.	https://developer.wordpress.org/reference/functions/wp_safe_redirect/
21	1	ERROR	WordPress.NamingConventions.PrefixAllGlobals.NonPrefixedVariableFound	Global variables defined by a theme/plugin should start with the theme/plugin prefix. Found: "$valid_error_codes".	
23	7	ERROR	WordPress.NamingConventions.PrefixAllGlobals.NonPrefixedVariableFound	Global variables defined by a theme/plugin should start with the theme/plugin prefix. Found: "$activate_path".	
23	52	WARNING	WordPress.Security.ValidatedSanitizedInput.InputNotValidated	Detected usage of a possibly undefined superglobal array index: $_SERVER[&#039;REQUEST_URI&#039;]. Use isset() or empty() to check the index exists before using it	
23	52	WARNING	WordPress.Security.ValidatedSanitizedInput.InputNotSanitized	Detected usage of a non-sanitized input variable: $_SERVER[&#039;REQUEST_URI&#039;]	
24	1	ERROR	WordPress.NamingConventions.PrefixAllGlobals.NonPrefixedVariableFound	Global variables defined by a theme/plugin should start with the theme/plugin prefix. Found: "$activate_cookie".	
26	1	ERROR	WordPress.NamingConventions.PrefixAllGlobals.NonPrefixedVariableFound	Global variables defined by a theme/plugin should start with the theme/plugin prefix. Found: "$key".	
27	1	ERROR	WordPress.NamingConventions.PrefixAllGlobals.NonPrefixedVariableFound	Global variables defined by a theme/plugin should start with the theme/plugin prefix. Found: "$result".	
29	13	WARNING	WordPress.Security.NonceVerification.Recommended	Processing form data without nonce verification.	
29	38	WARNING	WordPress.Security.NonceVerification.Missing	Processing form data without nonce verification.	
29	57	WARNING	WordPress.Security.NonceVerification.Recommended	Processing form data without nonce verification.	
29	74	WARNING	WordPress.Security.NonceVerification.Missing	Processing form data without nonce verification.	
30	13	ERROR	WordPress.WP.I18n.MissingArgDomain	Missing $domain parameter in function call to __().	https://developer.wordpress.org/plugins/internationalization/how-to-internationalize-your-plugin/
30	13	ERROR	WordPress.Security.EscapeOutput.OutputNotEscaped	All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '__'.	https://developer.wordpress.org/apis/security/escaping/#escaping-functions
30	120	ERROR	WordPress.WP.I18n.MissingArgDomain	Missing $domain parameter in function call to __().	https://developer.wordpress.org/plugins/internationalization/how-to-internationalize-your-plugin/
30	120	ERROR	WordPress.Security.EscapeOutput.OutputNotEscaped	All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '__'.	https://developer.wordpress.org/apis/security/escaping/#escaping-functions
31	21	WARNING	WordPress.Security.NonceVerification.Recommended	Processing form data without nonce verification.	
32	5	ERROR	WordPress.NamingConventions.PrefixAllGlobals.NonPrefixedVariableFound	Global variables defined by a theme/plugin should start with the theme/plugin prefix. Found: "$key".	
32	9	WARNING	WordPress.Security.NonceVerification.Recommended	Processing form data without nonce verification.	
32	9	WARNING	WordPress.Security.ValidatedSanitizedInput.MissingUnslash	$_GET[&#039;key&#039;] not unslashed before sanitization. Use wp_unslash() or similar	
32	9	WARNING	WordPress.Security.ValidatedSanitizedInput.InputNotSanitized	Detected usage of a non-sanitized input variable: $_GET[&#039;key&#039;]	
33	21	WARNING	WordPress.Security.NonceVerification.Missing	Processing form data without nonce verification.	
34	5	ERROR	WordPress.NamingConventions.PrefixAllGlobals.NonPrefixedVariableFound	Global variables defined by a theme/plugin should start with the theme/plugin prefix. Found: "$key".	
34	9	WARNING	WordPress.Security.NonceVerification.Missing	Processing form data without nonce verification.	
34	9	WARNING	WordPress.Security.ValidatedSanitizedInput.MissingUnslash	$_POST[&#039;key&#039;] not unslashed before sanitization. Use wp_unslash() or similar	
34	9	WARNING	WordPress.Security.ValidatedSanitizedInput.InputNotSanitized	Detected usage of a non-sanitized input variable: $_POST[&#039;key&#039;]	
38	5	ERROR	WordPress.NamingConventions.PrefixAllGlobals.NonPrefixedVariableFound	Global variables defined by a theme/plugin should start with the theme/plugin prefix. Found: "$redirect_url".	
45	9	ERROR	WordPress.NamingConventions.PrefixAllGlobals.NonPrefixedVariableFound	Global variables defined by a theme/plugin should start with the theme/plugin prefix. Found: "$result".	
50	5	ERROR	WordPress.NamingConventions.PrefixAllGlobals.NonPrefixedVariableFound	Global variables defined by a theme/plugin should start with the theme/plugin prefix. Found: "$key".	
50	12	WARNING	WordPress.Security.ValidatedSanitizedInput.MissingUnslash	$_COOKIE[$activate_cookie] not unslashed before sanitization. Use wp_unslash() or similar	
50	12	WARNING	WordPress.Security.ValidatedSanitizedInput.InputNotSanitized	Detected usage of a non-sanitized input variable: $_COOKIE[$activate_cookie]	
51	5	ERROR	WordPress.NamingConventions.PrefixAllGlobals.NonPrefixedVariableFound	Global variables defined by a theme/plugin should start with the theme/plugin prefix. Found: "$result".	
58	5	ERROR	WordPress.NamingConventions.PrefixAllGlobals.NonPrefixedVariableFound	Global variables defined by a theme/plugin should start with the theme/plugin prefix. Found: "$error_code".	
79	12	ERROR	WordPress.NamingConventions.PrefixAllGlobals.NonPrefixedHooknameFound	Hook names invoked by a theme/plugin should start with the theme/plugin prefix. Found: "activate_header".	
88	1	ERROR	WordPress.NamingConventions.PrefixAllGlobals.NonPrefixedFunctionFound	Functions declared in the global namespace by a theme/plugin should start with the theme/plugin prefix. Found: "do_activate_header".	
96	16	ERROR	WordPress.NamingConventions.PrefixAllGlobals.NonPrefixedHooknameFound	Hook names invoked by a theme/plugin should start with the theme/plugin prefix. Found: "activate_wp_head".	
105	1	ERROR	WordPress.NamingConventions.PrefixAllGlobals.NonPrefixedFunctionFound	Functions declared in the global namespace by a theme/plugin should start with the theme/plugin prefix. Found: "wpmu_activate_stylesheet".	
123	1	ERROR	WordPress.NamingConventions.PrefixAllGlobals.NonPrefixedVariableFound	Global variables defined by a theme/plugin should start with the theme/plugin prefix. Found: "$blog_details".	
130	19	ERROR	WordPress.WP.I18n.MissingArgDomain	Missing $domain parameter in function call to _e().	https://developer.wordpress.org/plugins/internationalization/how-to-internationalize-your-plugin/
130	19	ERROR	WordPress.Security.EscapeOutput.UnsafePrintingFunction	All output should be run through an escaping function (like esc_html_e() or esc_attr_e()), found '_e'.	https://developer.wordpress.org/apis/security/escaping/#escaping-with-localization
133	40	ERROR	WordPress.WP.I18n.MissingArgDomain	Missing $domain parameter in function call to _e().	https://developer.wordpress.org/plugins/internationalization/how-to-internationalize-your-plugin/
133	40	ERROR	WordPress.Security.EscapeOutput.UnsafePrintingFunction	All output should be run through an escaping function (like esc_html_e() or esc_attr_e()), found '_e'.	https://developer.wordpress.org/apis/security/escaping/#escaping-with-localization
137	92	ERROR	WordPress.WP.I18n.MissingArgDomain	Missing $domain parameter in function call to esc_attr_e().	https://developer.wordpress.org/plugins/internationalization/how-to-internationalize-your-plugin/
144	13	ERROR	WordPress.NamingConventions.PrefixAllGlobals.NonPrefixedVariableFound	Global variables defined by a theme/plugin should start with the theme/plugin prefix. Found: "$signup".	
146	23	ERROR	WordPress.WP.I18n.MissingArgDomain	Missing $domain parameter in function call to _e().	https://developer.wordpress.org/plugins/internationalization/how-to-internationalize-your-plugin/
146	23	ERROR	WordPress.Security.EscapeOutput.UnsafePrintingFunction	All output should be run through an escaping function (like esc_html_e() or esc_attr_e()), found '_e'.	https://developer.wordpress.org/apis/security/escaping/#escaping-with-localization
152	21	ERROR	WordPress.WP.I18n.MissingArgDomain	Missing $domain parameter in function call to __().	https://developer.wordpress.org/plugins/internationalization/how-to-internationalize-your-plugin/
152	21	ERROR	WordPress.Security.EscapeOutput.OutputNotEscaped	All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '__'.	https://developer.wordpress.org/apis/security/escaping/#escaping-functions
161	21	ERROR	WordPress.WP.I18n.MissingArgDomain	Missing $domain parameter in function call to __().	https://developer.wordpress.org/plugins/internationalization/how-to-internationalize-your-plugin/
161	21	ERROR	WordPress.Security.EscapeOutput.OutputNotEscaped	All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '__'.	https://developer.wordpress.org/apis/security/escaping/#escaping-functions
171	23	ERROR	WordPress.WP.I18n.MissingArgDomain	Missing $domain parameter in function call to _e().	https://developer.wordpress.org/plugins/internationalization/how-to-internationalize-your-plugin/
171	23	ERROR	WordPress.Security.EscapeOutput.UnsafePrintingFunction	All output should be run through an escaping function (like esc_html_e() or esc_attr_e()), found '_e'.	https://developer.wordpress.org/apis/security/escaping/#escaping-with-localization
177	13	ERROR	WordPress.NamingConventions.PrefixAllGlobals.NonPrefixedVariableFound	Global variables defined by a theme/plugin should start with the theme/plugin prefix. Found: "$url".	
178	13	ERROR	WordPress.NamingConventions.PrefixAllGlobals.NonPrefixedVariableFound	Global variables defined by a theme/plugin should start with the theme/plugin prefix. Found: "$user".	
180	23	ERROR	WordPress.WP.I18n.MissingArgDomain	Missing $domain parameter in function call to _e().	https://developer.wordpress.org/plugins/internationalization/how-to-internationalize-your-plugin/
180	23	ERROR	WordPress.Security.EscapeOutput.UnsafePrintingFunction	All output should be run through an escaping function (like esc_html_e() or esc_attr_e()), found '_e'.	https://developer.wordpress.org/apis/security/escaping/#escaping-with-localization
183	39	ERROR	WordPress.WP.I18n.MissingArgDomain	Missing $domain parameter in function call to _e().	https://developer.wordpress.org/plugins/internationalization/how-to-internationalize-your-plugin/
183	39	ERROR	WordPress.Security.EscapeOutput.UnsafePrintingFunction	All output should be run through an escaping function (like esc_html_e() or esc_attr_e()), found '_e'.	https://developer.wordpress.org/apis/security/escaping/#escaping-with-localization
184	39	ERROR	WordPress.WP.I18n.MissingArgDomain	Missing $domain parameter in function call to _e().	https://developer.wordpress.org/plugins/internationalization/how-to-internationalize-your-plugin/
184	39	ERROR	WordPress.Security.EscapeOutput.UnsafePrintingFunction	All output should be run through an escaping function (like esc_html_e() or esc_attr_e()), found '_e'.	https://developer.wordpress.org/apis/security/escaping/#escaping-with-localization
190	17	ERROR	WordPress.NamingConventions.PrefixAllGlobals.NonPrefixedVariableFound	Global variables defined by a theme/plugin should start with the theme/plugin prefix. Found: "$login_url".	
196	29	ERROR	WordPress.WP.I18n.MissingArgDomain	Missing $domain parameter in function call to __().	https://developer.wordpress.org/plugins/internationalization/how-to-internationalize-your-plugin/
196	29	ERROR	WordPress.Security.EscapeOutput.OutputNotEscaped	All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '__'.	https://developer.wordpress.org/apis/security/escaping/#escaping-functions
204	25	ERROR	WordPress.WP.I18n.MissingArgDomain	Missing $domain parameter in function call to __().	https://developer.wordpress.org/plugins/internationalization/how-to-internationalize-your-plugin/
204	25	ERROR	WordPress.Security.EscapeOutput.OutputNotEscaped	All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '__'.	https://developer.wordpress.org/apis/security/escaping/#escaping-functions


FILE: wordpress/wp-content/plugins/akismet/class.akismet-widget.php
line	column	type	code	message	docs
20	35	ERROR	WordPress.WP.I18n.TextDomainMismatch	Mismatched text domain. Expected 'obfuscated-malware-scanner' but got 'akismet'.	https://developer.wordpress.org/plugins/internationalization/how-to-internationalize-your-plugin/
21	99	ERROR	WordPress.WP.I18n.TextDomainMismatch	Mismatched text domain. Expected 'obfuscated-malware-scanner' but got 'akismet'.	https://developer.wordpress.org/plugins/internationalization/how-to-internationalize-your-plugin/
34	42	ERROR	WordPress.WP.I18n.TextDomainMismatch	Mismatched text domain. Expected 'obfuscated-malware-scanner' but got 'akismet'.	https://developer.wordpress.org/plugins/internationalization/how-to-internationalize-your-plugin/
39	100	ERROR	WordPress.WP.I18n.TextDomainMismatch	Mismatched text domain. Expected 'obfuscated-malware-scanner' but got 'akismet'.	https://developer.wordpress.org/plugins/internationalization/how-to-internationalize-your-plugin/
